公司全名,公司简称,公司规模,公司行业,职位性质,工作地址,薪资待遇,职位名称,工作经验,工作区域,职位福利,学历要求
上海蔚来汽车有限公司,NIO蔚来,2000人以上,"移动互联网,硬件",全职,来广营,20k-40k,python,3-5年,朝阳区,"['年底双薪', '带薪年假', '通讯津贴', '交通补助']",本科
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,"移动互联网,教育",全职,海淀黄庄,15k-30k,Python工程师,3-5年,海淀区,"['五险一金', '带薪年假', '节日礼物', '午餐补助']",大专
北京智者天下科技有限公司,知乎,500-2000人,"移动互联网,社交网络",全职,六道口,18k-36k,Python 开发工程师,1-3年,海淀区,"['年底双薪', '股票期权', '带薪年假', '定期体检']",本科
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,移动互联网,全职,五道口,25k-50k,高级Python工程师,3-5年,海淀区,"['带薪年假', '定期体检', '文化open', '扁平化管理']",本科
北京智分科技有限公司,NewsJet,50-150人,移动互联网,全职,西土城,25k-45k,高级Python开发工程师,3-5年,海淀区,"['年底双薪', '免费两餐', 'Geek范', '免费健身']",本科
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,"移动互联网,旅游",全职,九龙山,15k-30k,Python中高级开发工程师,5-10年,朝阳区,"['技能培训', '扁平管理', '五险一金', '午餐补助']",大专
北京步鼎方舟科技有限公司,微车,150-500人,"移动互联网,O2O",全职,长春桥,20k-30k,Python高级开发工程师,3-5年,海淀区,[],本科
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,"移动互联网 ,企业服务",全职,,10k-18k,python开发,3-5年,朝阳区,"['高薪', '节日礼物', '弹性工作', '带薪年假']",本科
北京好巧国际旅行社有限公司,好巧,150-500人,数据服务,全职,北土城,25k-35k,Linux C++/Python中高级研发工程师,5-10年,朝阳区,"['五险一金', '弹性工作', '扁平管理', '百万医疗']",本科
北京果壳互动科技传媒有限公司,果壳网,150-500人,"移动互联网,社交网络",全职,九龙山,20k-40k,高级Python开发工程师,3-5年,朝阳区,"['技能培训', '年度旅游', '岗位晋升', '家庭式三餐']",本科
小小黛朵（北京）科技有限公司,花生米富,150-500人,"移动互联网,金融",全职,苏州街,16k-20k,python工程师,3-5年,海淀区,"['股票期权', '年底双薪', '带薪年假', '功夫熊按摩']",大专
北京旷视科技有限公司,Face++,500-2000人,"移动互联网,硬件",全职,五道口,25k-50k,高级Python开发工程师,3-5年,海淀区,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",本科
掌阅科技股份有限公司,掌阅,500-2000人,移动互联网,全职,高碑店,25k-35k,高级Python研发工程师,3-5年,朝阳区,"['专项奖金', '带薪年假', '年度旅游', '扁平管理']",本科
国美金控投资有限公司,国美金控,2000人以上,金融,全职,亮马桥,30k-40k,python研发工程师,5-10年,朝阳区,"['岗位晋升', '扁平管理', '五险一金', '互联网金融']",本科
